,K55 CNC,Machine_Type,Total_Dim,Shift1_Sample_Taken,Shift1_OK_Count,Shift1_NG_Count,Shift1_Yield%,Shift1_NG_List,Shift2_Sample_Taken,Shift2_OK_Count,Shift2_NG_Count,Shift2_Yield%,Shift2_NG_List,Shift3_Sample_Taken,Shift3_OK_Count,Shift3_NG_Count,Shift3_Yield%,Shift3_NG_List
113,BM1L1C1F5,RR,7,21.0,0.0,21.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
114,BM1L1C1F6,BU,33,60.0,58.0,2.0,96.7%,"('P64', 'P66')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
115,BM1L1C1F6,LR,16,39.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
116,BM1L1C1F6,RR,7,21.0,0.0,21.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
117,BM1L1C1F7,BU,33,30.0,29.0,1.0,96.7%,"('P66',)",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
118,BM1L1C1F7,LR,16,39.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
119,BM1L1C1F7,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
120,BM1L1C1F8,BU,33,30.0,29.0,1.0,96.7%,"('P66',)",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
121,BM1L1C1F8,LR,16,52.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
122,BM1L1C1F8,RR,7,21.0,0.0,21.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
123,BM1L1C1F9,BU,33,64.0,59.0,5.0,92.2%,"('P63_3', 'P63_4', 'P66', 'P66', 'P64')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
124,BM1L1C1F9,LR,16,39.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
125,BM1L1C1F9,RR,7,21.0,0.0,21.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
